film,country,lat,long
"A Place in the Sun" , Greece,35.240117,24.8092691
"2 Broke Girls"  {And the Emergency Contractor (#6.14)}, USA,34.1490744,-118.3393653
"A.N.T. Farm"  {Unforseen CircumstANTs (#3.7)}, USA,34.089696,-118.335049
"2011 Stanley Cup Finals" , Canada,49.2778358,-123.1088227
"2 Broke Girls"  {And 2 Broke Girls: The Movie (#6.22)}, USA,34.1490744,-118.3393653
"10 O'Clock Live"  {(#1.8)}, UK,51.5100255,-0.2268465
"2 Broke Girls"  {And Martha Stewart Have a Ball: Part 2 (#1.24)}, USA,34.1490744,-118.3393653
"2 Broke Girls"  {And Strokes of Goodwill (#1.3)}, USA,34.1490744,-118.3393653
"2 Broke Girls"  {And the Cupcake Captives (#4.14)}, USA,34.1490744,-118.3393653
"ATSN TV: American Trigger Sports Network Television"  {The 14th Annual ICORE Southwest Regional Revolver Championship (#1.3)}, USA,34.274646,-119.2290316
"8 Days a Week"  {Rock Paper Scissors (#1.8)}, USA,34.0522342,-118.2436849
"ATSN TV: American Trigger Sports Network Television"  {2011 14th Annual ICORE Southwest Regional Revolver Championship (#2.6)}, USA,34.439527,-118.7354707
"A.N.T. Farm"  {SilANT Night (#3.14)}, USA,34.089696,-118.335049
"2 Broke Girls"  {And the Dumpster Sex (#3.14)}, USA,34.1490744,-118.3393653
"2011 Stanley Cup Finals"  {Game 7: Boston vs. Vancouver (#1.7)}, Canada,49.2827291,-123.1207375
"2011 World Series"  {Game 3 (#1.3)}, USA,32.7512153,-97.0825402
"A.N.T. Farm"  {Uncanny ResemblANTs (#3.10)}, USA,34.089696,-118.335049
"10 O'Clock Live"  {(#2.3)}, UK,51.5100255,-0.2268465
"A.N.T. Farm"  {MutANT Farm II (#2.13)}, USA,34.089696,-118.335049
"A History of Celtic Britain"  {Age of Invasion (#1.3)}, UK,51.3538459,-1.1005385
"1LIVE Talk mit Frau Heinrich"  {Nach dem Trip (#3.1)}, Germany,50.9394315,6.951261199999999
"1LIVE Talk mit Frau Heinrich"  {Das Telefonat (#3.10)}, Germany,50.9394315,6.951261199999999
"A.N.T. Farm"  {IgnorANTs Is Bliss (#1.16)}, USA,34.089696,-118.335049
"1LIVE Talk mit Frau Heinrich"  {Fetter Fisch (#3.6)}, Germany,50.9394315,6.951261199999999
"10 O'Clock Live"  {(#1.2)}, UK,51.5100255,-0.2268465
"2011 Stanley Cup Finals"  {Game 4: Vancouver vs. Boston (#1.4)}, USA,42.3600825,-71.0588801
"A Football Life"  {Jerry Rice (#3.22)}, USA,38.8976763,-77.0365298
"ATSN TV: American Trigger Sports Network Television"  {2011 California State Sporting Clays Championship (#1.9)}, USA,34.038151,-118.0693018
"A.N.T. Farm"  {EndurANTs (#2.7)}, USA,34.089696,-118.335049
"19-2"  {(#2.1)}, Canada,45.4698663,-73.56162789999999
"1LIVE Talk mit Frau Heinrich"  {Who Let the Dogs Out? (#2.4)}, Germany,50.9394315,6.951261199999999
"2 Broke Girls"  {And the Basketball Jones (#5.8)}, USA,34.1490744,-118.3393653
"2 Broke Girls"  {And the Duck Stamp (#6.8)}, USA,34.1490744,-118.3393653
"2 Broke Girls"  {And the Minor Problem (#4.20)}, USA,34.1490744,-118.3393653
"A Gifted Man"  {In Case of (Re)Birth (#1.11)}, USA,40.736297,-73.9382627
"Acoustic Corner" , USA,35.2270869,-80.8431267
"1LIVE Talk mit Frau Heinrich"  {Guckt ihr! (#2.1)}, Germany,50.9394315,6.951261199999999
"2 Broke Girls"  {And the Partnership Hits the Fan (#5.20)}, USA,34.1490744,-118.3393653
"A.N.T. Farm"  {ReplicANT (#1.8)}, USA,34.089696,-118.335049
"A.N.T. Farm" , USA,34.089696,-118.335049
"2 Broke Girls"  {And the Not Regular Down There (#5.6)}, USA,34.1490744,-118.3393653
"1LIVE Talk mit Frau Heinrich" , Germany,50.937531,6.9602786
"2 Broke Girls"  {And a Loan for Christmas (#4.7)}, USA,34.1490744,-118.3393653
